Symbol,Timeframe,Setup,Regime,Confidence,Bias,Position,PnL_Pct,Result,Entry_Time,Exit_Time
SUIUSDT,4h,Continuation,Balanced,0.871,Bullish,Long,1.2471,win,2026-04-16 03:59:07,
SPACEUSDT,4h,Continuation,Trending,0.8821,Bullish,Long,-6.3997,loss,2026-04-26 11:59:59,
SPACEUSDT,1h,Continuation,Trending,0.8821,Bullish,Long,-5.3208,loss,2026-04-26 20:59:59,
SOMIUSDT,1h,Continuation,Balanced,0.8944,Bullish,Long,0.4802,win,2026-04-25 11:59:59,
0GUSDT,4h,Continuation,Trending,0.8966,Bullish,Long,-2.0632,loss,2026-04-08 03:59:59,
BULLAUSDT,15m,Continuation,Trending,0.8919,Bullish,Long,-0.0851,loss,2026-04-05 22:59:59,
BTCUSDT,24h,Continuation,Trending,0.8822,Bullish,Long,-1.0196,loss,2026-04-17 23:56:41,
BUSDT,4h,Continuation,Trending,0.8794,Bullish,Long,3.2843,win,2026-04-22 19:59:59,
ONGUSDT,1h,Continuation,Balanced,0.494,Bearish,Short,2.1176,win,2026-04-08 18:55:32,
FILUSDT,4h,Continuation,Trending,0.9296,Bullish,Long,1.4004,win,2026-04-16 03:59:07,
CRVUSDT,15m,Continuation,Ranging,0.8603,Bullish,Long,-0.2536,loss,2026-04-14 06:59:21,
HYPERUSDT,15m,Continuation,Trending,0.8794,Bullish,Long,-0.2717,loss,2026-04-25 21:59:59,
HYPERUSDT,1h,Continuation,Balanced,0.8631,Bullish,Long,-1.5362,loss,2026-04-29 00:58:01,
ROSEUSDT,1h,Continuation,Balanced,0.9042,Bullish,Long,-0.3322,loss,2026-04-17 16:59:48,
CROSSUSDT,4h,Continuation,Trending,0.8755,Bullish,Long,3.0618,win,2026-04-25 11:59:59,
CROSSUSDT,15m,Continuation,Balanced,0.8663,Bullish,Long,-1.0809,loss,2026-04-25 20:44:59,
SUSHIUSDT,15m,Continuation,Ranging,0.8366,Bearish,Short,-0.2116,loss,2026-04-18 16:42:30,
ZECUSDT,1h,Continuation,Trending,0.8849,Bullish,Long,1.1843,win,2026-04-07 04:55:50,
ZECUSDT,4h,Continuation,Trending,0.8582,Bullish,Long,-4.38,loss,2026-04-21 11:55:16,
MMTUSDT,1h,Continuation,Balanced,0.8998,Bullish,Long,-1.3758,loss,2026-04-05 06:59:59,
MMTUSDT,1h,Continuation,Balanced,0.9118,Bullish,Long,0.8177,win,2026-04-05 09:59:59,
MMTUSDT,15m,Continuation,Trending,0.8441,Bullish,Long,1.4738,win,2026-04-05 21:14:59,
ZKPUSDT,4h,Continuation,Trending,0.8694,Bullish,Long,9.4951,win,2026-04-28 15:59:59,
TRUMPUSDT,15m,Continuation,Balanced,0.8323,Bullish,Long,1.4484,win,2026-04-16 15:43:45,
TACUSDT,15m,Continuation,Balanced,0.8407,Bullish,Long,-0.1253,loss,2026-04-24 09:40:43,
TACUSDT,15m,Continuation,Balanced,0.8275,Bullish,Long,3.2523,win,2026-04-29 08:29:27,
AIOTUSDT,15m,Continuation,Trending,0.8037,Bullish,Long,-3.5768,loss,2026-04-05 12:09:59,
XLMUSDT,4h,Continuation,Trending,0.8863,Bullish,Long,4.3089,win,2026-04-20 19:59:59,
